File,NREM,REM,WAKE,Art,train,validation,test
23e66h2t43nernjy.npy,0.0,0.0,1.0,0.0,0,0,1
4gzb1juamp8niff5.npy,0.0,0.0,1.0,0.0,0,0,1
7al5o2smnwfacbq6.npy,0.0,0.0,1.0,0.0,0,0,1
ipy1d6f2qbkm38yu.npy,0.0,0.0,1.0,0.0,0,0,1
a28s564iydazdece.npy,0.0,0.0,1.0,0.0,0,0,1
rjv6ac4ob66bdioq.npy,0.0,0.0,1.0,0.0,0,0,1
gzut9rpzzhmap6nb.npy,0.0,0.0,1.0,0.0,0,0,1
eiifrehj2dnwzy3h.npy,0.0,0.0,1.0,0.0,0,0,1
pxq2b1pufcwydv51.npy,0.0,0.0,1.0,0.0,0,0,1
e77rfcuzhbojx497.npy,0.0,0.0,1.0,0.0,0,0,1
7s1x0mn7rbxfbrgg.npy,0.0,0.0,1.0,0.0,0,0,1
yl5z2m8cdk50xj9g.npy,0.0,0.0,1.0,0.0,0,0,1
pojxhdltn9x7nise.npy,0.0,0.0,1.0,0.0,0,0,1
v098v8krv5dnusud.npy,0.0,0.0,1.0,0.0,0,0,1
cmhuk9azhnmzct0u.npy,0.0,0.0,1.0,0.0,0,0,1
kk1mli7kfkbwbr40.npy,0.0,0.0,1.0,0.0,0,0,1
l535o3x1ix51kra1.npy,0.0,0.0,1.0,0.0,0,0,1
pyx5z1g2km9dv4bi.npy,0.0,0.0,1.0,0.0,0,0,1
7n1630awu8bwt7z6.npy,0.0,0.0,1.0,0.0,0,0,1
x8bhe96ppf6lbhe8.npy,0.0,0.0,1.0,0.0,0,0,1
8ee7wd9fqzcx4bnq.npy,0.0,0.0,1.0,0.0,0,0,1
8scm7g037ecmsxl5.npy,0.0,0.0,1.0,0.0,0,0,1
chd79ct4ojmkrfff.npy,0.0,0.0,1.0,0.0,0,0,1
rw3w2hiju8hnz1yi.npy,0.0,0.0,1.0,0.0,0,0,1
1rgj0wqxfvrb2pa4.npy,0.0,0.0,1.0,0.0,0,0,1
nig16jfhr8g07aq9.npy,0.0,0.0,0.0,1.0,0,0,1
dl8i4tv3dvwkj7ig.npy,0.0,0.0,0.0,1.0,0,0,1
sfx2039axs12lwoi.npy,0.0,0.0,1.0,0.0,0,0,1
7av0nmdrq6z47oib.npy,0.0,0.0,0.0,1.0,0,0,1
2ct7qut1s6zpvlp2.npy,0.0,0.0,1.0,0.0,0,0,1
0dkmkttpol4iarh2.npy,0.0,0.0,1.0,0.0,0,0,1
h2inr09ek7y3w8my.npy,0.0,0.0,1.0,0.0,0,0,1
a5m1qjtpc104e8wv.npy,0.0,0.0,1.0,0.0,0,0,1
nh174qej3iwsyi9v.npy,0.0,0.0,1.0,0.0,0,0,1
sm7lsawm2251lg8p.npy,0.0,0.0,1.0,0.0,0,0,1
vq755cf3ku7lkk5d.npy,0.0,0.0,1.0,0.0,0,0,1
h9zh8ff340ejlsa0.npy,0.0,0.0,1.0,0.0,0,0,1
wyhipkx2rhm39004.npy,0.0,0.0,0.0,1.0,0,0,1
p3vdv3gl1lrurw5d.npy,0.0,0.0,1.0,0.0,0,0,1
lmbi3k2nso483yr6.npy,0.0,0.0,1.0,0.0,0,0,1
zs3qwq9rhqvtjo1u.npy,0.0,0.0,0.0,1.0,0,0,1
0eth6o28trx4z2zk.npy,0.0,0.0,1.0,0.0,0,0,1
uvautrn1c077y1dp.npy,0.0,0.0,1.0,0.0,0,0,1
f4jye744rehw983q.npy,0.0,0.0,1.0,0.0,0,0,1
mh1h75o1cj4rudon.npy,0.0,0.0,1.0,0.0,0,0,1
gbbd9a24qy9inngk.npy,0.0,0.0,1.0,0.0,0,0,1
bb1xqm4ldu5pgco6.npy,0.0,0.0,1.0,0.0,0,0,1
hr3uqmvnm6povp6l.npy,0.0,0.0,1.0,0.0,0,0,1
2n4esde805ejkcdq.npy,0.0,0.0,0.0,1.0,0,0,1
w8dpf5vppymdh37i.npy,0.0,0.0,1.0,0.0,0,0,1
3otrv7o8sp82ks1w.npy,0.0,0.0,1.0,0.0,0,0,1
9lfetjpygdxcymab.npy,0.0,0.0,1.0,0.0,0,0,1
4bzp79qdxwtv0h3f.npy,0.0,0.0,1.0,0.0,0,0,1
8mludb6sf8x0faeu.npy,0.0,0.0,1.0,0.0,0,0,1
gqxpdaai2fugs0bi.npy,0.0,0.0,1.0,0.0,0,0,1
zhrwz1peumn0opbr.npy,0.0,0.0,1.0,0.0,0,0,1
lgh604t9f3zz2rtm.npy,0.0,0.0,1.0,0.0,0,0,1
gt6ob4zlrx95j5xv.npy,0.0,0.0,1.0,0.0,0,0,1
tszzlxd5qbnp7kcn.npy,0.0,0.0,1.0,0.0,0,0,1
5jytkpqsf43fvgy1.npy,0.0,0.0,1.0,0.0,0,0,1
mg2u2uzkfjb2eu9z.npy,0.0,0.0,1.0,0.0,0,0,1
8aliy8ugoukr1jhg.npy,0.0,0.0,1.0,0.0,0,0,1
xssubzlmy90n3yy7.npy,0.0,0.0,1.0,0.0,0,0,1
o0tayijr8536ckh9.npy,0.0,0.0,1.0,0.0,0,0,1
hy6a89w4k7dfet2t.npy,0.0,0.0,1.0,0.0,0,0,1
7vv7qjwoyhbqyddx.npy,0.0,0.0,1.0,0.0,0,0,1
cxyg4i6atbcc8clt.npy,0.0,0.0,1.0,0.0,0,0,1
ind3jeneo9wb3elv.npy,0.0,0.0,1.0,0.0,0,0,1
x6tq5jiwblu4q6fk.npy,0.0,0.0,1.0,0.0,0,0,1
3t4o35izy5io616w.npy,0.0,0.0,1.0,0.0,0,0,1
fnh0jwt7qvtjj4uh.npy,0.0,0.0,1.0,0.0,0,0,1
d4p37ipk2iva83rx.npy,0.0,0.0,1.0,0.0,0,0,1
dn03lt41dwcbzj6t.npy,0.0,0.0,1.0,0.0,0,0,1
41b3qlfxaql9kacx.npy,0.0,0.0,0.0,1.0,0,0,1
xo9pxv7inh6v6yfh.npy,0.0,0.0,1.0,0.0,0,0,1
1wsk2yeu206nrmvb.npy,0.0,0.0,1.0,0.0,0,0,1
